"Date","New recoveries","Total recoveries","New deaths","Total deaths","New cases","Total cases","Active cases"
"Feb 16, 2020",0,4,1,1,0,12,7
"Feb 17, 2020",1,5,0,1,0,12,6
"Feb 18, 2020",2,7,0,1,0,12,4
"Feb 19, 2020",0,7,0,1,0,12,4
"Feb 20, 2020",0,7,0,1,0,12,4
"Feb 21, 2020",0,7,0,1,0,12,4
"Feb 22, 2020",3,10,0,1,0,12,1
"Feb 23, 2020",0,10,0,1,0,12,1
"Feb 24, 2020",1,11,0,1,0,12,0
"Feb 25, 2020",0,11,0,1,2,14,2
"Feb 26, 2020",0,11,1,2,4,18,5
"Feb 27, 2020",0,11,0,2,20,38,25
"Feb 28, 2020",0,11,0,2,19,57,44
"Feb 29, 2020",1,12,0,2,43,100,86
"Mar 1, 2020",0,12,0,2,30,130,116
"Mar 2, 2020",0,12,1,3,61,191,176
"Mar 3, 2020",0,12,1,4,21,212,196
"Mar 4, 2020",0,12,0,4,73,285,269
"Mar 5, 2020",0,12,3,7,138,423,404
"Mar 6, 2020",0,12,2,9,230,653,632
"Mar 7, 2020",0,12,7,16,296,949,921
"Mar 8, 2020",0,12,3,19,260,1209,1178
"Mar 9, 2020",0,12,11,30,203,1412,1370
"Mar 10, 2020",0,12,3,33,372,1784,1739
"Mar 11, 2020",0,12,15,48,497,2281,2221
"Mar 12, 2020",0,12,13,61,595,2876,2803
"Mar 13, 2020",0,12,18,79,785,3661,3570
"Mar 14, 2020",0,12,12,91,838,4499,4396
"Mar 15, 2020",0,12,36,127,924,5423,5284
"Mar 16, 2020",0,12,21,148,1210,6633,6473
"Mar 17, 2020",590,602,27,175,1097,7730,6953
"Mar 18, 2020",0,602,89,264,1404,9134,8268
"Mar 19, 2020",693,1295,108,372,1861,10995,9328
"Mar 20, 2020",292,1587,78,450,1617,12612,10575
"Mar 21, 2020",0,1587,112,562,1847,14459,12310
"Mar 22, 2020",613,2200,112,674,1559,16018,13144
"Mar 23, 2020",0,2200,186,860,3838,19856,16796
"Mar 24, 2020",1081,3281,240,1100,2448,22304,17923
"Mar 25, 2020",619,3900,231,1331,2929,25233,20002
"Mar 26, 2020",1048,4948,365,1696,3922,29155,22511
"Mar 27, 2020",752,5700,299,1995,3809,32964,25269
"Mar 28, 2020",0,5700,319,2314,4611,37575,29561
"Mar 29, 2020",1502,7202,292,2606,2599,40174,30366
"Mar 30, 2020",725,7927,418,3024,4376,44550,33599
"Mar 31, 2020",1517,9444,499,3523,7578,52128,39161
"Apr 1, 2020",1491,10935,509,4032,4861,56989,42022
"Apr 2, 2020",1493,12428,1355,5387,2116,59105,41290
"Apr 3, 2020",1580,14008,1120,6507,17355,76460,55945
"Apr 4, 2020",1430,15438,1053,7560,6559,83019,60021
"Apr 5, 2020",745,16183,518,8078,4700,87719,63458
"Apr 6, 2020",1067,17250,833,8911,2733,90452,64291
"Apr 7, 2020",2087,19337,1417,10328,8728,99180,69515
"Apr 8, 2020",1917,21254,541,10869,3881,103061,70938
"Apr 9, 2020",1952,23206,1341,12210,4635,107696,72280
"Apr 10, 2020",1726,24932,987,13197,6231,113927,75798
"Apr 11, 2020",1459,26391,635,13832,4251,118178,77955
"Apr 12, 2020",795,27186,561,14393,2455,120633,79054
"Apr 13, 2020",532,27718,574,14967,3665,124298,81613
"Apr 14, 2020",1087,28805,762,15729,5955,130253,85719
"Apr 15, 2020",2150,30955,1438,17167,3391,133644,85522
"Apr 16, 2020",1857,32812,753,17920,7128,140772,90040
"Apr 17, 2020",1608,34420,761,18681,2344,143116,90015
"Apr 18, 2020",1563,35983,642,19323,3666,146782,91476
"Apr 19, 2020",595,36578,395,19718,1062,147844,91548
"Apr 20, 2020",831,37409,547,20265,2434,150278,92604
"Apr 21, 2020",1772,39181,531,20796,3253,153531,93554
"Apr 22, 2020",1476,40657,544,21340,2413,155944,93947
"Apr 23, 2020",1431,42088,516,21856,2239,158183,94239
"Apr 24, 2020",1405,43493,389,22245,1645,159828,94090
"Apr 25, 2020",1101,44594,369,22614,1660,161488,94280
"Apr 26, 2020",309,44903,242,22856,612,162100,94341
"Apr 27, 2020",610,45513,437,23293,1173,163273,94467
"Apr 28, 2020",1373,46886,367,23660,2638,165911,95365
"Apr 29, 2020",1342,48228,427,24087,509,166420,94105
"Apr 30, 2020",1248,49476,289,24376,758,167178,93326
"May 1, 2020",736,50212,218,24594,168,167346,92540
"May 2, 2020",350,50562,166,24760,1050,168396,93074
"May 3, 2020",222,50784,135,24895,297,168693,93014
"May 4, 2020",587,51371,306,25201,769,169462,92890
"May 5, 2020",1365,52736,330,25531,1089,170551,92284
"May 6, 2020",1236,53972,278,25809,3640,174191,94410
"May 7, 2020",1055,55027,178,25987,600,174791,93777
"May 8, 2020",755,55782,243,26230,1288,176079,94067
"May 9, 2020",256,56038,80,26310,579,176658,94310
"May 10, 2020",179,56217,70,26380,312,176970,94373
